K,dwell_time,c_var_during,c_var_pre,c_var_post,trans_stabilization,trans_locking,r_pre,r_during,r_post,in_transition,mean_c
0.6522391943731838,0.375,0.07827351428889497,0.025384603184177075,0.04534249496719812,0,0,0.5046713353718992,0.5997342422240626,0.3961010184280403,1,0.2568792654909346
0.39424474448709035,0.82,0.05187339997020603,0.036009115838112615,0.023006773634353068,0,0,0.5857351414306566,0.4025186452649598,0.6118610680210168,1,0.34930391526341803
0.78917044844458,0.28,0.031480423765655845,0.05216094940681647,0.027089194056781923,1,0,0.875025181098993,0.7714914572896575,0.7235182156762824,0,0.5577764306068661
0.4830098926735259,0.62,0.058143092424767756,0.047526156894775316,0.05198871441824176,0,0,0.5311094998031185,0.6583421868140872,0.6100222698646623,1,0.41426218898767336
0.5540705293087885,0.56,0.08824504477616733,0.044295409362496575,0.012494069470885345,0,0,0.8031703211450241,0.4608695082890864,0.5395241786085946,1,0.3142367077841256
0.4465386739639565,0.615,0.04472808519631985,0.04514758139222565,0.04075969472577165,1,0,0.6789858662883033,0.583799153570351,0.7324729665013151,1,0.48661815745846004
0.825956120398618,0.0,0.026822783274778415,0.06215621839591541,0.006526671362520816,1,0,0.9250268466764472,0.8900192480472,0.8620070379072331,0,0.7375043225671243
0.18149153603908108,0.53,0.05205936714887541,0.1076102964849131,0.08276714680065961,1,0,0.6843258690337981,0.6716403768273287,0.3737629111439615,1,0.1617304321234821
0.4880187193316101,0.375,0.01892758725678852,0.02396825882802468,0.017128867762668584,1,0,0.49357149706834264,0.6321039152578898,0.4553991010689429,1,0.31563349905058435
0.3869703531181641,0.64,0.03527032917235822,0.05558643611771958,0.026106896068485038,1,0,0.3117863716786928,0.35981093756600147,0.5856222425365548,1,0.33133200124462225
0.24456332161908523,0.42,0.09060289449919674,0.061144185294204886,0.02267561338961076,0,0,0.39639380856297685,0.5649683155496209,0.5510662285081644,1,0.27490238086846164
0.9416938047653414,0.0,0.04251448878463454,0.03284190462671608,0.006887433119098437,0,0,0.7260695983563283,0.8331118921347286,0.7724055239939404,0,0.6200807668167977
0.4078042561047184,0.0,0.03638586540065641,0.10779775032619242,0.006888761298466771,1,0,0.8652777010971573,0.9199514277607228,0.8774176096645275,0,0.7890634241247622
0.07791198699695978,0.595,0.049435304747598566,0.04011191562836659,0.011618740677506354,0,0,0.40289534284727097,0.33956712276653617,0.3480850978111056,1,0.16235814747762067
0.5035467016020589,0.535,0.026494053048815587,0.03182298983578784,0.02150826410487039,1,0,0.5876575956809988,0.5042009356186814,0.4378426761861806,1,0.3161213270481212
0.8134188357354584,0.38,0.06611368591579096,0.054213697629046965,0.070351940213112,1,0,0.8243309741581252,0.7176158345364081,0.6470212155016832,0,0.5023978838163289
0.9170859872496442,0.27,0.030889390659252253,0.07152644406925406,0.05465784663606784,1,0,0.7337452244239347,0.7769568755657361,0.5458656061342619,0,0.4653124047132518
0.7547322655733323,0.0,0.035681831139267185,0.04349901189252098,0.015876012670317324,1,0,0.9731021826262664,0.9850401695242056,0.9842192211119792,0,0.8732208633973741
0.6203843945824536,0.535,0.0937624349452965,0.03227433783166672,0.0677268700438893,0,0,0.7863270957152747,0.5323650984758985,0.8131097636580135,1,0.5334163274007305
0.5933191817844637,0.22,0.025609136764348197,0.061142566857183264,0.09945941808741023,1,0,0.7809971383820337,0.7853101022517257,0.4409051363168595,0,0.26462101033328367
0.5662077552907174,0.235,0.041582309578538076,0.08703315298392225,0.07846421037265942,1,0,0.8752060825318847,0.7845387668607319,0.5400403830043384,0,0.41810789476666915
0.4195422063017781,0.73,0.08345080964498867,0.022269978260039125,0.01842022683887066,0,0,0.7535708233656425,0.4124409973613281,0.48541140306266956,1,0.26888665873664525
0.9107768503409679,0.32,0.05605973100088191,0.07274968940043236,0.016146361450485293,1,0,0.8707666052160505,0.7870465168445598,0.8488074193138433,0,0.6782737389489234
0.5882984286419403,0.48,0.07787903006718748,0.056949373322081505,0.08619667319521425,1,0,0.5605433531586889,0.5933788526215534,0.8067176616952416,1,0.5452627748644666
0.9506857536633786,0.0,0.05918559211077325,0.1290879890512338,0.009368803956437995,1,0,0.8299623663821988,0.9827143991293594,0.9826024529536437,0,0.9569260097627539
0.6649803788084141,0.0,0.02922421990784257,0.048139008540097235,0.005940445288606561,1,0,0.8453315766146406,0.9139182726990143,0.8906735838402678,0,0.8013702492813375
0.6452282775478303,0.015,0.02444194516259084,0.1038664443057344,0.03147411033790068,1,0,0.8385469881368217,0.8432534371137712,0.7249049750411064,0,0.566499011443308
