sim,transition_type,pre_shared_c,trans_shared_c,post_shared_c,pre_overlap,post_overlap,pre_c_range,post_c_range,fragmentation_change,shared_survives,reorganization,pre_order,post_order
125,coupling_strengthen,0.41285658390084917,0.42992950463417834,0.7377110996662484,0.9294271213484943,0.985479421463283,0.10655855999514158,0.026913011434676948,-0.07964554856046463,1,0.4,0.7696088537127287,0.961239511028262
126,coupling_strengthen,0.17104064211184683,0.13789744134588683,0.5861284214556401,0.9005866475579551,0.9060423646406938,0.17846696350314226,0.20961169091962606,0.031144727416483803,1,0.8,0.2753760963004809,0.7986943720528968
127,coupling_weaken,0.7726924582005356,0.7886741797087392,0.400401710928812,0.9645715434380355,0.8969631745524385,0.07440966678647587,0.18727033082920574,0.11286066404272987,1,0.8,0.9240225002576323,0.2809616323049464
128,bifurcation,0.36814503152951455,0.3078892454183872,0.3615188910673667,0.945074394290969,0.9417074074081105,0.13587779652665982,0.10747647217235173,-0.02840132435430809,1,0.6,0.3875630382909038,0.7487331938647728
129,closure_reorg,0.33161420632935934,0.37798984113221934,0.7700964462361944,0.9011939411488844,0.924426246494289,0.17045652027218147,0.17983026978936745,0.009373749517185975,1,0.8,0.7168959817401374,0.8908340930881734
130,bifurcation,0.37581667973866745,0.3161936080065432,0.5446739229748913,0.8710802694101917,0.9264204475164026,0.24903718329687885,0.1534228084107836,-0.09561437488609525,1,0.0,0.33511753567466707,0.7789170470985883
131,closure_reorg,0.18927767965121803,0.38019859786174154,0.2373879165775426,0.924777770636939,0.8046005033396364,0.15749099009883064,0.3556304191338752,0.19813942903504458,0,1.0,0.7411450266188976,0.5623863940407752
132,closure_reorg,0.7262162066724838,0.741778482155117,0.798240905217431,0.8770572911071456,0.8513059001226244,0.30143770636859313,0.36276333411970196,0.061325627751108835,1,0.6,0.8927514269549814,0.8942002030077885
133,closure_reorg,0.3784348507327169,0.2941160434321453,0.36548834535443,0.90345058108514,0.8199520838699144,0.22902332153997607,0.4617880084688369,0.23276468692886082,1,0.8,0.32691068088974473,0.6058716747975689
134,topology_change,0.40364867540299454,0.4407488786261126,0.5051713148995617,0.9701980859780417,0.9774652649449657,0.03768235084783095,0.04993778635720314,0.012255435509372192,1,0.8,0.7636442042059817,0.7813065350544836
